refer.event_dim|adcel
refer.date_dim|timer
refer.month_dim|timer
refer.time_dim|timer
refer.ad_network_dim|vrvdetails
refer.adm_advertiser_dim|adm1.0
refer.adm_channel_dim|adm1.0
refer.adm_creative_dim|adm1.0
refer.adm_dim_adsizes|adm2.0
refer.adm_dim_advertisers|adm2.0
refer.adm_dim_creatives|adm2.0
refer.adm_dim_flights|adm2.0
refer.adm_dim_orders|adm2.0
refer.adm_dim_organizations|adm2.0
refer.adm_dim_platforms|adm2.0
refer.adm_dim_portals|adm2.0
refer.adm_dim_properties|adm2.0
refer.adm_dim_propertygroups|adm2.0
refer.adm_dim_publishers|adm2.0
refer.adm_flight_dim|adm1.0
refer.adm_network_dim|adm1.0
refer.adm_order_dim|adm1.0
refer.adm_organization_dim|adm1.0
refer.adm_placement_dim|adm1.0
refer.adm_portal_dim|adm1.0
refer.adm_publisher_dim|adm1.0
refer.adm_website_dim|adm1.0
refer.content_category_dim|vrvdetails
refer.dc_ad_dim|dfp1.0
refer.dc_order_dim|dfp1.0
refer.dc_site_dim|dfp1.0
refer.dfp_dim_ad_units|dfp2.0
refer.dfp_dim_creatives|dfp2.0
refer.dfp_dim_line_items|dfp2.0
refer.dfp_dim_orders|dfp2.0
refer.dfp_dim_placements|dfp2.0
refer.partner_dim|vrvdetails
refer.partner_module_dim|vrvdetails
refer.point_of_interest_dim|vlsm
refer.portal_dim|vrvdetails
refer.revenue_share_dim|salesfore
refer.store_location_dim|vrvad
